ra,dec,u,g,r,i,z,class
183.5313257,0.08969303,19.47406,17.0424,15.94699,15.503420000000002,15.22531,STAR
183.59837050000002,0.135285032,18.6628,17.214489999999998,16.676370000000002,16.48922,16.3915,STAR
183.6802074,0.126185092,19.38298,18.191689999999998,17.47428,17.087320000000002,16.80125,GALAXY
183.8705294,0.049910685,17.76536,16.60272,16.16116,15.98233,15.904379999999998,STAR
183.8832883,0.10255675199999999,17.55025,16.26342,16.43869,16.554920000000003,16.61326,STAR
183.8471736,0.17369416399999998,19.43133,18.46779,18.16451,18.01475,18.04155,STAR
183.864379,0.019200711000000002,19.38322,17.88995,17.10537,16.66393,16.36955,GALAXY
183.9000814,0.18747329699999998,18.97993,17.84496,17.38022,17.20673,17.070710000000002,STAR
183.9245885,0.09724578199999999,17.90616,16.97172,16.67541,16.537760000000002,16.47596,STAR
183.9734977,0.081625582,18.67249,17.71375,17.49362,17.28284,17.22644,GALAXY
183.9791945,0.135997822,19.29772,17.80227,17.182660000000002,16.92335,16.79928,STAR
184.0853311,0.11211002199999999,18.833070000000003,17.51785,16.942729999999997,16.71418,16.60521,STAR
184.10209790000002,0.191510916,19.5625,18.191129999999998,17.65759,17.47573,17.39203,STAR
184.1605102,0.07564531299999999,19.5799,17.72815,16.9874,16.68076,16.504260000000002,STAR
184.1895738,0.099482468,19.25667,17.54869,16.63578,16.14922,15.76639,GALAXY
184.2217972,0.046955181,19.05958,18.09512,17.92766,17.8927,17.90772,STAR
184.3888696,0.068287428,19.04397,17.51106,16.87335,16.61114,16.48303,STAR
184.3809191,0.17432277,17.81661,16.86976,16.53884,16.19576,16.086679999999998,GALAXY
184.4668531,0.11196532099999999,19.3932,18.48274,18.16551,18.05122,18.04328,STAR
184.5694109,0.137091485,17.51339,16.41793,16.06695,15.937510000000001,15.894779999999999,STAR
