Roll no,Knowledge of programming,Knowledge at end of course,Contribution of course ,Instructors efficiency,Presentation skill,TA skill,Highschool IT,Taught self new language,Taken an online course,Participation in hackathons,Syllabus rating,OS,Front/back end,Identifier preference,Preferred debugger,Preferred OOP language,OOP knowledge
17IT146,4,3,3,2,2,3,No,Yes,Yes,Yes,9,Linux,Back end programming,"Strongly typed identifiers eg: such as in Java, C, C++",Interpreter,JAVA,8
17IT121,4,4,2,3,3,2,Yes,Yes,Yes,Yes,9,Linux,Back end programming,"Strongly typed identifiers eg: such as in Java, C, C++",Interpreter,JAVA,7
17IT138,2,3,2,1,1,1,No,Yes,No,No,3,Windows,Front end programming,"Loosely typed reference variables eg:  such as in Python, Perl, PHP",Interpreter,JAVA,4
171IT122,3,3,2,2,2,2,No,Yes,No,No,3,Linux,Front end programming,"Loosely typed reference variables eg:  such as in Python, Perl, PHP",Interpreter,Python,7
17IT132,3,4,4,3,4,3,Yes,Yes,Yes,No,7,Windows,Back end programming,"Strongly typed identifiers eg: such as in Java, C, C++",Compiler,Python,7
17IT201,2,2,2,2,2,3,No,No,No,No,8,Windows,Front end programming,"Strongly typed identifiers eg: such as in Java, C, C++",Compiler,Python,6
17IT230,2,4,5,2,2,1,No,Yes,No,Yes,9,Windows,Front end programming,"Loosely typed reference variables eg:  such as in Python, Perl, PHP",Interpreter,JAVA,6
17IT150,5,5,5,5,5,5,No,Yes,Yes,No,8,Linux,Front end programming,"Strongly typed identifiers eg: such as in Java, C, C++",Interpreter,JAVA,5
17IT140,2,2,1,2,2,1,Yes,No,No,No,2,Linux,Back end programming,"Loosely typed reference variables eg:  such as in Python, Perl, PHP",Compiler,JAVA,5
17IT110,1,1,1,1,1,1,No,No,No,No,1,Linux,Front end programming,"Loosely typed reference variables eg:  such as in Python, Perl, PHP",Interpreter,Python,1
171IT117,2,3,2,1,2,2,No,Yes,Yes,No,6,Windows,Front end programming,"Loosely typed reference variables eg:  such as in Python, Perl, PHP",Compiler,Python,5
17IT124,4,3,4,3,3,2,Yes,Yes,Yes,Yes,7,Linux,Back end programming,"Loosely typed reference variables eg:  such as in Python, Perl, PHP",Compiler,JAVA,9
17IT209,5,4,3,1,2,1,No,No,No,No,6,Windows,Front end programming,"Loosely typed reference variables eg:  such as in Python, Perl, PHP",Interpreter,Python,4
17ITXXX,2,3,3,2,2,2,Yes,Yes,Yes,Yes,5,Linux,Back end programming,"Strongly typed identifiers eg: such as in Java, C, C++",Interpreter,JAVA,6
171IT108,4,5,4,3,3,3,Yes,Yes,Yes,No,8,Linux,Back end programming,"Strongly typed identifiers eg: such as in Java, C, C++",Interpreter,Python,8
17IT115,3,3,4,1,2,1,Yes,Yes,Yes,No,7,Linux,Front end programming,"Strongly typed identifiers eg: such as in Java, C, C++",Compiler,Python,7
17IT248,5,5,5,5,5,5,No,No,Yes,No,9,Windows,Back end programming,"Strongly typed identifiers eg: such as in Java, C, C++",Compiler,JAVA,10
17IT223,3,3,1,1,3,1,Yes,Yes,Yes,Yes,6,Linux,Back end programming,"Strongly typed identifiers eg: such as in Java, C, C++",Compiler,JAVA,4
17IT228,1,2,2,2,2,2,No,Yes,No,No,3,Linux,Front end programming,"Loosely typed reference variables eg:  such as in Python, Perl, PHP",Compiler,Python,7
17IT208,2,3,3,3,3,2,No,No,Yes,No,6,Linux,Back end programming,"Loosely typed reference variables eg:  such as in Python, Perl, PHP",Interpreter,Python,7
17IT131,3,4,4,3,3,3,No,Yes,No,No,8,Linux,Front end programming,"Loosely typed reference variables eg:  such as in Python, Perl, PHP",Interpreter,Python,6
17IT142,2,3,2,2,2,1,Yes,Yes,No,Yes,7,Windows,Back end programming,"Loosely typed reference variables eg:  such as in Python, Perl, PHP",Interpreter,Python,7
17IT19,2,3,2,2,2,1,Yes,No,No,No,4,Linux,Front end programming,"Loosely typed reference variables eg:  such as in Python, Perl, PHP",Interpreter,Python,5
171IT202,5,4,4,3,3,3,Yes,Yes,Yes,No,8,Linux,Front end programming,"Strongly typed identifiers eg: such as in Java, C, C++",Interpreter,JAVA,8
17IT113,3,4,4,3,4,3,Yes,Yes,Yes,No,8,Windows,Front end programming,"Loosely typed reference variables eg:  such as in Python, Perl, PHP",Compiler,Python,8
17it149,2,2,1,1,1,1,Yes,Yes,Yes,No,5,Linux,Back end programming,"Strongly typed identifiers eg: such as in Java, C, C++",Compiler,Python,8
17IT147 ,3,3,3,2,2,1,No,Yes,Yes,No,8,Linux,Front end programming,"Strongly typed identifiers eg: such as in Java, C, C++",Interpreter,Python,6
17IT249,2,2,2,2,2,2,No,Yes,No,No,8,Linux,Front end programming,"Loosely typed reference variables eg:  such as in Python, Perl, PHP",Interpreter,Python,8
171IT250,2,2,2,2,2,1,No,No,Yes,No,4,Linux,Back end programming,"Loosely typed reference variables eg:  such as in Python, Perl, PHP",Interpreter,Python,4
17IT145,2,3,4,2,3,3,No,No,No,No,10,Windows,Front end programming,"Loosely typed reference variables eg:  such as in Python, Perl, PHP",Interpreter,JAVA,6
17IT136,3,3,3,3,3,3,Yes,Yes,Yes,No,7,Linux,Back end programming,"Loosely typed reference variables eg:  such as in Python, Perl, PHP",Compiler,Python,7
17IT244,3,3,3,3,3,3,Yes,Yes,Yes,Yes,6,Linux,Back end programming,"Strongly typed identifiers eg: such as in Java, C, C++",Compiler,Python,8
17IT155,2,2,2,3,2,3,No,Yes,No,No,3,Linux,Back end programming,"Loosely typed reference variables eg:  such as in Python, Perl, PHP",Interpreter,Python,3
17IT139,2,2,1,1,2,1,No,Yes,Yes,Yes,4,Linux,Back end programming,"Loosely typed reference variables eg:  such as in Python, Perl, PHP",Compiler,Python,7
17IT126,1,1,1,1,1,1,No,Yes,No,No,6,Windows,Back end programming,"Loosely typed reference variables eg:  such as in Python, Perl, PHP",Interpreter,JAVA,3
17IT112,2,2,1,1,2,1,No,No,No,No,4,Windows,Front end programming,"Loosely typed reference variables eg:  such as in Python, Perl, PHP",Interpreter,Python,3
17it133,5,5,5,4,4,3,No,Yes,Yes,Yes,8,Windows,Front end programming,"Loosely typed reference variables eg:  such as in Python, Perl, PHP",Compiler,Python,8
17IT219,3,2,3,3,2,1,Yes,Yes,Yes,Yes,4,Windows,Back end programming,"Loosely typed reference variables eg:  such as in Python, Perl, PHP",Interpreter,JAVA,5
17IT246,3,3,4,3,4,4,No,Yes,Yes,Yes,4,Linux,Back end programming,"Loosely typed reference variables eg:  such as in Python, Perl, PHP",Interpreter,Python,5
17IT108,4,4,3,3,3,3,Yes,Yes,Yes,Yes,7,Linux,Back end programming,"Strongly typed identifiers eg: such as in Java, C, C++",Interpreter,Python,7
17IT220,2,4,4,2,3,3,Yes,No,Yes,No,8,Windows,Front end programming,"Loosely typed reference variables eg:  such as in Python, Perl, PHP",Interpreter,JAVA,7
17IT222,1,3,3,4,4,3,No,Yes,No,No,8,Windows,Back end programming,"Loosely typed reference variables eg:  such as in Python, Perl, PHP",Interpreter,Python,6
17IT130,1,2,2,2,2,1,No,Yes,Yes,No,5,Windows,Front end programming,"Loosely typed reference variables eg:  such as in Python, Perl, PHP",Compiler,Python,6
17IT227,3,4,3,3,3,2,Yes,Yes,No,No,6,Windows,Front end programming,"Strongly typed identifiers eg: such as in Java, C, C++",Interpreter,JAVA,7
17IT247,2,3,3,2,2,1,Yes,No,No,No,5,Windows,Back end programming,"Strongly typed identifiers eg: such as in Java, C, C++",Compiler,JAVA,4
17IT117,4,5,5,4,4,2,Yes,Yes,No,Yes,7,Linux,Back end programming,"Loosely typed reference variables eg:  such as in Python, Perl, PHP",Interpreter,Python,7
17IT235,3,4,4,2,4,2,Yes,No,Yes,Yes,5,Windows,Back end programming,"Loosely typed reference variables eg:  such as in Python, Perl, PHP",Interpreter,Python,8
171IT238,3,4,3,2,2,1,Yes,Yes,No,Yes,7,Windows,Back end programming,"Loosely typed reference variables eg:  such as in Python, Perl, PHP",Interpreter,Python,4
17IT221,3,4,4,3,3,2,Yes,Yes,Yes,Yes,8,Linux,Back end programming,"Strongly typed identifiers eg: such as in Java, C, C++",Interpreter,JAVA,6
17IT211,3,4,3,2,3,2,Yes,Yes,Yes,Yes,8,Linux,Back end programming,"Loosely typed reference variables eg:  such as in Python, Perl, PHP",Interpreter,Python,7
17IT218,2,2,2,3,3,1,No,Yes,No,No,7,Windows,Front end programming,"Loosely typed reference variables eg:  such as in Python, Perl, PHP",Interpreter,Python,5
17IT101,3,2,2,3,2,1,Yes,Yes,Yes,Yes,3,Linux,Back end programming,"Loosely typed reference variables eg:  such as in Python, Perl, PHP",Interpreter,Python,8
17IT253,3,3,2,3,3,2,Yes,Yes,Yes,Yes,7,Windows,Front end programming,"Strongly typed identifiers eg: such as in Java, C, C++",Interpreter,JAVA,8
17IT105,3,4,4,4,4,3,No,No,Yes,No,8,Linux,Back end programming,"Strongly typed identifiers eg: such as in Java, C, C++",Compiler,JAVA,7
17IT252,4,4,4,4,4,4,Yes,Yes,No,Yes,8,Windows,Back end programming,"Strongly typed identifiers eg: such as in Java, C, C++",Interpreter,Python,7
4,1,1,1,1,1,1,No,Yes,Yes,No,5,Linux,Back end programming,"Loosely typed reference variables eg:  such as in Python, Perl, PHP",Compiler,JAVA,6
17IT208,2,3,3,3,3,1,No,No,Yes,No,4,Linux,Back end programming,"Loosely typed reference variables eg:  such as in Python, Perl, PHP",Interpreter,Python,5
17IT242 ,4,4,4,3,4,3,No,Yes,No,No,5,Windows,Front end programming,"Loosely typed reference variables eg:  such as in Python, Perl, PHP",Interpreter,JAVA,5
171IT204,2,2,2,1,1,3,Yes,No,Yes,No,1,Windows,Back end programming,"Strongly typed identifiers eg: such as in Java, C, C++",Compiler,Python,8
17IT247,2,2,2,2,2,2,Yes,No,No,No,10,Windows,Back end programming,"Loosely typed reference variables eg:  such as in Python, Perl, PHP",Interpreter,Python,5
